paper_id,author_id
1210.0057,Jolanta Mamczarz
0812.4156,Massimo Morini
0812.4156,Damiano Brigo
1811.03329,Jiaying Gu
1811.03329,Roger Koenker
0704.1653,Wissam Chemissany
0704.1653,André ploegh
0704.1653,Thomas Van Riet
0904.0830,Xiaolin Luo
0904.0830,Pavel V. Shevchenko
0903.2960,Mateusz Kula
0903.2960,Katarzyna Bonkowska
0903.2960,Maria Ogielska
0903.2960,Piotr Kierzkowski
0903.2960,Anna Zalesna
0903.2960,Stanislaw Cebrat
0901.1572,Sophie Quérouil
0901.1572,M. A. Silva
0901.1572,I. Cascao
0901.1572,S. Magalhaes
0901.1572,M. I. Seabra
0901.1572,M. A. Machete
0901.1572,R. S. Santos
0707.1025,Sergei Fedorenko
1808.03630,Jeff Craley
1808.03630,Emily Johnson
1808.03630,Archana Venkataraman
1906.11208,Li-Chun Zhang
0706.0294,Edoardo M Airoldi
0706.0294,David M Blei
0706.0294,Stephen E Fienberg
0706.0294,Eric P Xing
1708.06436,Jann Spiess
1108.4113,A. Philip Dawid
1108.4113,Steven de Rooij
1108.4113,Peter Grunwald
1108.4113,Wouter M. Koolen
1108.4113,Glenn Shafer
1108.4113,Alexander Shen
1108.4113,Nikolai Vereshchagin
1108.4113,Vladimir Vovk
0704.1665,David Vernette
0704.1665,Punam Tandan
0704.1665,Michele Caponigro
0804.2752,Peter Bühlmann
0804.2752,Torsten Hothorn
0707.3775,Dorothy Buck
0707.3775,Erica Flapan
1712.08659,Leian Chen
1712.08659,Xiaodong Wang
1207.4309,Oliver Grothe
1207.4309,Stephan Nicklas
1003.0168,Guo-Hua Mu
1003.0168,Wei-Xing Zhou
1003.0168,Wei Chen
1003.0168,Janos Kertesz
1904.07660,Giuseppe Toscani
1904.07660,Andrea Tosin
1904.07660,Mattia Zanella
0803.1082,Yoshimi Yoshino
0803.1082,Tobias Galla
0803.1082,Kei Tokita
1810.11609,H. Narayanan
1810.11609,Hariharan Narayanan
0704.1172,Zhe Sun
0704.1172,Xiaoguang Wang
0704.1172,C. P. Sun
1711.11407,Shaogang Wang
1711.11407,Vishal M. Patel
1711.11407,Athina Petropulu
1812.03358,Madison G. McGaffin
1812.03358,Hao Chen
1812.03358,Jeffrey A. Fessler
1812.03358,Volker Sick
0705.1750,Peng Cui
0708.2732,Yingbin Liang
0708.2732,H. Vincent Poor
1711.03847,Peter Gerstoft
1711.03847,Santosh Nannuru
1711.03847,Christoph F. Mecklenbräuker
1711.03847,Geert Leus
1011.0096,Matthieu Cornec
0710.0445,Denis A. Semenov
0704.1384,Tomas Recio
0704.1384,J. Rafael Sendra
0704.1384,Luis Felipe Tabera
0704.1384,Carlos Villarino
0911.5503,Constantinos Kardaras
0704.1455,Aaron B. Wagner
0704.1455,Pramod Viswanath
0704.1455,Sanjeev R. Kulkarni
1310.1142,Anna Aksamit
