paper_id,topic_id
1901.04265,econ.GN
1901.04265,q-fin.EC
1007.0471,q-bio.OT
1011.3411,stat.AP
0704.0676,astro-ph
1106.5598,stat.OT
0710.5072,stat.ME
1801.07567,eess.SP
1407.4452,q-fin.PR
1407.4452,q-fin.MF
1811.07499,math.ST
1811.07499,econ.EM
1811.07499,q-fin.ST
1811.07499,stat.TH
1108.4739,stat.AP
0711.3605,cs.CL
0710.5582,cs.GT
0710.5582,cs.CC
0710.5582,cs.DM
1109.6090,stat.ME
1109.6090,stat.CO
1109.6090,stat.ML
1110.5558,q-fin.GN
0704.0060,nucl-th
1908.04569,q-fin.RM
1908.04569,econ.EM
1908.04569,math.ST
1908.04569,stat.TH
0808.1283,q-bio.SC
0808.1283,q-bio.BM
0704.1019,math.KT
0704.1019,math.FA
0705.3734,math.DG
1110.2563,stat.ME
1805.05500,eess.SP
0704.2556,math.AG
0704.1119,astro-ph
1008.1636,stat.ME
0801.0124,q-bio.PE
0801.0124,q-bio.GN
0801.0124,q-bio.OT
1010.4236,stat.ML
0705.1585,cs.LG
0705.3767,math.AC
0705.3767,math.CO
1902.03310,econ.GN
1902.03310,q-fin.EC
0803.1838,q-bio.QM
0704.2377,math.AG
0707.0763,cs.DB
0711.3205,cs.IT
0711.3205,math.IT
1805.01759,eess.IV
1809.07747,econ.TH
1809.07747,math.CO
1301.4442,q-fin.PR
1301.4442,q-fin.CP
0911.0985,stat.CO
0911.0985,stat.ME
1808.10753,eess.IV
1808.10753,physics.optics
1110.4304,stat.ML
1110.4304,stat.ME
0811.3122,q-fin.ST
0811.3122,stat.AP
1205.4008,q-fin.TR
0706.1162,cs.HC
0909.1234,stat.ML
0909.1234,stat.CO
0704.1555,physics.soc-ph
0704.1555,cond-mat.stat-mech
0708.3127,cs.IT
0708.3127,math.IT
1012.3795,stat.ML
0903.3796,stat.AP
0711.2914,cs.LG
0711.2914,cs.AI
0711.2914,cs.CV
1811.02764,eess.SP
0704.0895,math.AG
0704.0895,math.CO
1712.03993,eess.IV
